School,G,W,L,W-L%,SRS,SOS,W.1,L.1,W.2,L.2,W.3,L.3,Points For,Points Against,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Qualified
Illinois-Chicago,31,17,14,0.548,-0.59,0.62,10,10,9,5,7,6,2357,2286,1260,831,1827,0.455,250,716,0.349,445,619,0.719,328,1119,476,210,97,375,548,False
Incarnate Word,33,17,16,0.515,-6.47,-5.44,9,11,11,5,4,10,2407,2274,1330,891,1918,0.465,262,695,0.377,363,533,0.681,395,1159,411,225,125,387,536,False
Indiana,32,19,13,0.594,14.59,11.97,10,10,14,4,4,6,2389,2305,1285,871,1902,0.458,203,632,0.321,444,629,0.706,349,1166,509,186,107,371,531,False
Indiana State,32,14,18,0.438,-3.13,-0.63,8,12,8,6,4,9,2563,2545,1295,877,1884,0.465,323,931,0.347,486,649,0.749,294,1139,502,219,71,448,586,False
Iona,34,17,17,0.5,-8.3,-7.51,12,8,7,7,7,7,2369,2396,1370,872,2075,0.42,229,721,0.318,396,578,0.685,495,1259,492,327,96,491,621,False
Iowa,33,17,16,0.515,12.88,10.1,7,13,12,6,2,8,2722,2630,1325,1011,2065,0.49,322,847,0.38,378,536,0.705,286,1056,605,219,138,323,509,False
Iowa State,33,24,9,0.727,23.04,10.73,13,7,15,2,6,5,2652,2246,1340,920,1918,0.48,253,707,0.358,559,738,0.757,341,1169,496,309,115,393,531,True
IU Indy,32,10,22,0.313,-11.51,-4.23,6,14,6,8,4,12,2402,2458,1285,803,1873,0.429,328,878,0.374,468,632,0.741,366,1073,436,199,64,329,560,False
Jackson State,34,16,18,0.471,-9.15,-6.0,14,4,8,1,6,15,2428,2535,1380,835,1978,0.422,217,666,0.326,541,741,0.73,372,1246,415,243,115,471,560,False
Jacksonville,32,19,13,0.594,-3.24,-3.27,12,6,11,3,7,9,2308,2273,1285,847,1925,0.44,235,652,0.36,379,557,0.68,404,1163,437,249,143,420,554,False
Jacksonville State,34,22,12,0.647,1.39,0.04,12,6,12,2,7,7,2511,2334,1370,888,1991,0.446,256,736,0.348,479,631,0.759,372,1302,392,167,121,340,464,False
James Madison,32,20,12,0.625,-1.62,-2.58,13,5,13,2,5,8,2365,2256,1290,823,1874,0.439,287,830,0.346,432,573,0.754,360,1142,373,194,101,337,523,False
Kansas,33,21,12,0.636,20.7,13.77,11,9,14,3,4,8,2515,2286,1335,959,2035,0.471,245,697,0.352,352,495,0.711,348,1272,584,206,157,386,469,True
Kansas City,33,13,20,0.394,-5.33,-2.71,4,12,9,5,2,12,2386,2218,1320,816,1898,0.43,290,845,0.343,464,609,0.762,392,1168,407,244,106,394,552,False
Kansas State,33,16,17,0.485,11.29,10.08,9,11,10,6,3,9,2337,2297,1325,856,1943,0.441,254,781,0.325,371,537,0.691,339,1118,505,244,114,399,515,False
Kennesaw State,33,19,14,0.576,0.77,1.1,10,8,12,3,5,8,2526,2417,1330,857,1996,0.429,284,915,0.31,528,734,0.719,414,1331,439,218,140,451,618,False
Kent State,33,22,11,0.667,0.88,-3.25,11,7,11,4,8,5,2433,2256,1325,873,2002,0.436,238,759,0.314,449,598,0.751,425,1214,415,250,107,386,604,False
Kentucky,33,22,11,0.667,21.61,14.18,10,8,15,3,4,6,2815,2570,1325,980,2033,0.482,317,848,0.374,538,729,0.738,333,1270,556,223,133,365,573,True
La Salle,33,14,19,0.424,-3.05,1.6,5,13,10,5,2,10,2376,2465,1325,845,2046,0.413,230,685,0.336,456,628,0.726,392,1217,388,238,117,354,521,False
Lafayette,33,13,20,0.394,-9.9,-8.06,7,11,10,6,3,14,2261,2274,1337,809,1854,0.436,257,753,0.341,386,564,0.684,284,1102,486,192,115,362,512,False
Lamar,33,20,13,0.606,-2.2,-2.67,14,6,10,4,9,6,2306,2170,1325,845,1979,0.427,230,653,0.352,386,562,0.687,441,1277,495,246,165,413,504,False
Le Moyne,32,9,23,0.281,-17.54,-8.07,4,12,6,7,2,16,2371,2566,1315,826,1802,0.458,253,746,0.339,466,662,0.704,290,1051,454,222,69,444,614,False
Lehigh,30,11,19,0.367,-10.03,-6.46,6,12,8,5,3,14,2110,2143,1210,758,1682,0.451,236,637,0.37,358,524,0.683,220,947,401,174,63,321,486,False
Liberty,34,28,6,0.824,8.22,-1.39,13,5,12,3,9,2,2603,2138,1365,938,1898,0.494,359,921,0.39,368,557,0.661,218,1123,574,225,99,342,458,True
Lindenwood,33,16,17,0.485,-13.01,-7.11,10,10,11,3,3,12,2348,2354,1340,837,1983,0.422,192,678,0.283,482,709,0.68,380,1203,370,277,133,415,534,False
Lipscomb,34,25,9,0.735,5.06,-4.88,14,4,15,3,10,6,2697,2289,1365,939,1984,0.473,336,936,0.359,483,608,0.794,282,1218,514,236,104,324,427,True
Little Rock,33,19,14,0.576,-6.72,-7.52,12,8,9,5,9,7,2287,2219,1330,843,1894,0.445,215,583,0.369,386,548,0.704,342,1112,447,298,172,458,563,False
Long Beach State,32,7,25,0.219,-9.82,-0.05,3,17,3,11,4,11,2152,2374,1295,736,1698,0.433,218,625,0.349,462,611,0.756,304,1021,364,182,96,460,585,False
Long Island University,33,17,16,0.515,-10.7,-9.7,12,4,10,5,7,9,2235,2156,1345,831,1910,0.435,201,649,0.31,372,518,0.718,382,1172,388,269,117,430,625,False
Longwood,32,18,14,0.563,-4.43,-4.85,7,9,12,4,5,7,2504,2371,1280,847,1830,0.463,206,620,0.332,604,831,0.727,362,1111,427,244,65,400,590,False
Louisiana,33,12,21,0.364,-10.65,-2.28,8,10,5,12,6,5,2159,2410,1330,757,1897,0.399,223,720,0.31,422,579,0.729,316,1013,340,243,95,357,578,False
Louisiana State,32,14,18,0.438,10.26,10.01,3,15,11,7,2,8,2363,2355,1295,838,1885,0.445,250,820,0.305,437,612,0.714,330,1141,409,227,151,419,537,False
Louisiana Tech,32,20,12,0.625,1.77,-0.4,9,9,11,4,5,7,2364,2188,1300,830,1780,0.466,248,730,0.34,456,608,0.75,307,1166,485,205,131,402,505,False
Louisiana-Monroe,32,7,25,0.219,-15.02,-4.22,3,15,5,11,2,12,2205,2417,1290,782,1920,0.407,218,658,0.331,423,593,0.713,360,1155,413,228,76,374,448,False
Louisville,34,27,7,0.794,19.29,9.61,18,2,14,3,9,2,2672,2343,1365,917,2018,0.454,320,970,0.33,518,696,0.744,380,1273,476,218,97,389,527,True
Loyola (IL),33,22,11,0.667,3.75,0.34,12,6,16,1,5,5,2426,2265,1335,868,1896,0.458,282,797,0.354,408,615,0.663,337,1175,528,212,149,401,589,False
Loyola (MD),31,12,19,0.387,-11.58,-8.22,6,12,7,7,5,12,2145,2205,1245,775,1779,0.436,229,704,0.325,366,525,0.697,310,1034,426,223,89,372,475,False
Loyola Marymount,32,17,15,0.531,1.47,3.21,8,10,11,6,3,8,2279,2290,1280,821,1868,0.44,252,755,0.334,385,532,0.724,251,1068,423,185,126,333,527,False
Maine,34,20,14,0.588,-6.28,-8.09,10,6,10,3,8,11,2409,2248,1365,893,1929,0.463,225,634,0.355,398,542,0.734,253,1030,504,308,124,352,511,False
Manhattan,30,17,13,0.567,-7.25,-8.22,12,8,9,5,8,7,2280,2235,1225,792,1809,0.438,260,755,0.344,436,566,0.77,358,1109,452,190,76,354,426,False
Marist,30,20,10,0.667,-8.69,-10.19,13,7,11,4,9,5,1979,1934,1215,753,1712,0.44,202,643,0.314,271,383,0.708,310,1079,420,173,103,358,448,False
Marquette,33,23,10,0.697,18.88,10.55,13,7,14,3,7,6,2537,2262,1330,919,2064,0.445,310,955,0.325,389,538,0.723,362,1129,455,298,122,306,527,True
Marshall,33,20,13,0.606,-2.17,-4.43,12,6,14,3,5,9,2499,2366,1325,883,2004,0.441,260,807,0.322,473,683,0.693,412,1239,482,219,180,382,636,False
Maryland,33,25,8,0.758,23.53,8.86,14,6,17,2,5,5,2695,2211,1326,960,2035,0.472,269,723,0.372,506,670,0.755,352,1212,484,260,150,339,512,True
Maryland-Baltimore County,32,13,19,0.406,-11.24,-7.9,5,11,8,9,5,10,2559,2522,1300,929,1917,0.485,287,741,0.387,414,598,0.692,238,1027,469,235,85,364,490,False
Maryland-Eastern Shore,31,6,25,0.194,-20.48,-4.3,2,12,5,7,1,17,2090,2410,1240,738,1740,0.424,210,639,0.329,404,608,0.664,307,1021,361,165,62,416,557,False
Massachusetts,32,12,20,0.375,-2.48,0.75,7,11,8,8,4,7,2333,2399,1300,841,2053,0.41,185,658,0.281,466,702,0.664,456,1269,413,249,155,375,580,False
Massachusetts-Lowell,32,17,15,0.531,-7.33,-7.3,6,10,14,4,3,11,2543,2371,1290,916,1843,0.497,226,639,0.354,485,628,0.772,274,1145,492,188,137,401,427,False
McNeese State,33,27,6,0.818,8.88,-2.35,19,1,13,1,10,2,2549,2113,1320,911,1901,0.479,252,702,0.359,475,669,0.71,385,1195,465,297,112,357,531,True
Memphis,34,29,5,0.853,12.61,5.69,16,2,13,2,11,2,2725,2490,1375,956,2019,0.474,254,669,0.38,559,796,0.702,411,1272,497,264,160,470,604,True
Mercer,33,14,19,0.424,-8.36,-5.03,6,12,7,6,5,11,2511,2485,1335,919,2113,0.435,273,849,0.322,400,611,0.655,386,1297,436,278,87,398,547,False
Mercyhurst,31,15,16,0.484,-15.36,-9.39,9,7,11,2,4,14,2105,2167,1255,735,1703,0.432,214,610,0.351,421,525,0.802,235,849,419,227,67,335,519,False
Merrimack,33,18,15,0.545,-4.37,-5.77,14,6,8,5,9,8,2166,2120,1330,787,1861,0.423,263,798,0.33,329,455,0.723,232,932,391,313,124,297,518,False
Miami (FL),31,7,24,0.226,0.65,7.3,3,17,7,10,0,10,2294,2500,1250,849,1849,0.459,223,712,0.313,373,488,0.764,293,977,399,198,106,339,445,False
Miami (OH),34,25,9,0.735,-0.84,-5.28,14,4,15,1,6,7,2740,2473,1365,985,2046,0.481,363,914,0.397,407,562,0.724,319,1159,550,272,120,412,601,False
Michigan,34,25,9,0.735,20.16,13.13,14,6,13,3,7,3,2661,2422,1370,938,1979,0.474,281,841,0.334,504,692,0.728,369,1298,549,186,122,479,582,True
Michigan State,33,27,6,0.818,22.46,11.56,17,3,15,1,8,2,2579,2219,1325,902,1956,0.461,197,640,0.308,578,740,0.781,390,1314,556,181,149,381,561,True
Middle Tennessee,33,22,11,0.667,2.96,1.21,12,6,11,4,8,5,2505,2357,1340,907,2006,0.452,250,786,0.318,441,658,0.67,380,1258,413,217,144,375,567,False
Milwaukee,32,21,11,0.656,0.36,-3.78,14,6,13,3,7,8,2510,2295,1290,907,1939,0.468,189,613,0.308,507,741,0.684,462,1253,457,246,105,423,562,False
Minnesota,32,15,17,0.469,8.51,10.16,7,13,10,9,5,5,2178,2231,1305,796,1806,0.441,209,649,0.322,377,568,0.664,337,1084,488,193,151,346,561,False
Mississippi,33,22,11,0.667,17.92,12.47,10,8,13,3,5,6,2547,2367,1330,877,1983,0.442,272,797,0.341,521,706,0.738,304,1091,469,290,127,294,599,True
Mississippi State,33,21,12,0.636,17.53,11.92,8,10,10,5,6,5,2632,2447,1335,945,2095,0.451,278,886,0.314,464,663,0.7,428,1259,504,304,152,351,573,True
Mississippi Valley State,31,3,28,0.097,-34.3,-4.48,1,17,2,9,1,19,1678,2506,1240,610,1568,0.389,140,473,0.296,318,482,0.66,238,868,258,186,60,501,507,False
Missouri,33,22,11,0.667,20.39,9.78,10,8,18,2,3,7,2787,2437,1325,924,1904,0.485,292,790,0.37,647,892,0.725,366,1131,457,310,88,353,600,True
Missouri State,32,9,23,0.281,-3.88,0.58,2,18,7,8,1,12,2175,2268,1315,776,1735,0.447,228,639,0.357,395,602,0.656,334,1046,390,236,83,437,580,False
Monmouth,33,13,20,0.394,-7.88,-2.85,10,8,8,2,4,14,2321,2487,1335,784,1908,0.411,233,661,0.352,520,701,0.742,357,1124,389,195,147,364,592,False
Montana,34,25,9,0.735,-1.14,-1.92,15,3,15,1,7,8,2614,2480,1365,939,1871,0.502,249,692,0.36,487,662,0.736,244,1079,461,213,111,372,547,True
Montana State,33,15,18,0.455,-2.39,-2.33,9,9,11,3,3,14,2354,2298,1325,835,1834,0.455,270,793,0.34,414,571,0.725,230,1033,435,210,119,328,528,False
Morehead State,32,15,17,0.469,-13.51,-7.37,10,10,9,5,6,10,2116,2199,1285,741,1779,0.417,190,614,0.309,444,658,0.675,361,1171,368,179,82,377,506,False
Morgan State,32,14,18,0.438,-14.89,-8.32,7,7,11,4,2,13,2559,2584,1295,948,1988,0.477,148,435,0.34,515,707,0.728,396,1193,414,222,149,432,595,False
Mount St. Mary's,34,22,12,0.647,-7.79,-7.28,12,8,10,4,9,8,2392,2373,1380,840,1899,0.442,271,778,0.348,441,601,0.734,351,1281,510,209,95,515,537,True
Murray State,33,16,17,0.485,0.84,0.43,9,11,7,5,6,8,2371,2282,1350,789,1823,0.433,251,730,0.344,542,751,0.722,331,1121,392,220,100,376,573,False
Navy,34,15,19,0.441,-9.61,-8.48,10,8,9,5,6,12,2407,2393,1365,837,1979,0.423,249,737,0.338,484,661,0.732,383,1216,452,222,91,367,557,False
NC State,31,12,19,0.387,5.88,6.69,5,15,12,6,0,11,2158,2183,1245,764,1798,0.425,209,650,0.322,421,580,0.726,318,992,394,200,118,295,515,False
Nebraska,31,17,14,0.548,12.97,10.46,7,13,10,6,5,7,2337,2259,1260,814,1798,0.453,225,693,0.325,484,647,0.748,285,1089,427,220,92,352,488,False
Nevada,33,17,16,0.515,9.74,5.56,8,12,11,6,3,8,2386,2248,1329,845,1785,0.473,228,669,0.341,468,666,0.703,286,1071,497,205,119,335,578,False
Nevada-Las Vegas,33,18,15,0.545,7.03,5.91,11,9,12,5,5,7,2285,2248,1320,803,1826,0.44,210,631,0.333,469,654,0.717,306,1119,398,216,120,352,526,False
New Hampshire,32,8,24,0.25,-19.51,-7.18,6,10,6,7,2,15,2124,2450,1280,772,1872,0.412,249,765,0.325,331,502,0.659,331,1098,359,181,76,424,529,False
New Mexico,33,26,7,0.788,15.15,5.96,17,3,16,1,7,4,2681,2335,1330,957,2087,0.459,234,674,0.347,533,776,0.687,404,1297,500,293,169,377,579,True
New Mexico State,32,17,15,0.531,1.17,0.72,10,8,9,6,8,6,2229,2110,1285,787,1895,0.415,228,710,0.321,427,633,0.675,379,1198,373,204,74,348,591,False
New Orleans,31,4,27,0.129,-15.16,-0.61,2,18,0,11,3,15,2105,2556,1252,758,1840,0.412,172,565,0.304,417,623,0.669,375,1104,380,226,81,408,465,False
Niagara,31,11,20,0.355,-12.53,-8.3,6,14,6,7,3,13,2122,2214,1255,747,1659,0.45,251,711,0.353,377,510,0.739,233,953,390,193,69,380,487,False
Nicholls State,33,20,13,0.606,-2.21,-2.54,13,7,11,4,8,8,2443,2296,1330,867,2025,0.428,252,729,0.346,457,667,0.685,396,1247,373,266,129,351,569,False
NJIT,31,6,25,0.194,-17.64,-7.57,3,13,4,9,1,16,2023,2269,1245,726,1815,0.4,212,688,0.308,359,491,0.731,333,1100,312,148,114,375,570,False
Norfolk State,34,24,10,0.706,-3.63,-7.5,11,3,11,1,8,9,2627,2345,1370,940,1922,0.489,183,553,0.331,564,746,0.756,344,1180,473,236,103,421,598,True
North Alabama,34,24,10,0.706,1.63,-5.37,14,4,16,1,7,9,2691,2400,1370,978,2127,0.46,263,746,0.353,472,669,0.706,422,1292,415,260,113,295,497,False
North Carolina,35,22,13,0.629,17.16,11.33,13,7,12,3,6,6,2828,2624,1410,1005,2110,0.476,276,781,0.353,542,735,0.737,343,1284,513,206,130,377,587,True
North Carolina A&T,32,7,25,0.219,-13.0,-4.03,3,15,5,9,2,15,2213,2439,1280,791,1937,0.408,215,708,0.304,416,606,0.686,341,1148,358,197,96,340,482,False
North Carolina Central,33,14,19,0.424,-12.68,-7.82,6,8,10,4,2,13,2600,2501,1340,915,1994,0.459,242,691,0.35,528,759,0.696,437,1105,520,276,79,437,658,False
North Dakota,33,12,21,0.364,-7.08,-1.18,5,11,8,6,2,12,2550,2624,1320,899,2069,0.435,271,831,0.326,481,679,0.708,437,1245,405,188,81,375,549,False
North Dakota State,32,21,11,0.656,1.43,-3.26,10,6,11,4,8,6,2595,2386,1296,871,1826,0.477,380,955,0.398,473,610,0.775,286,1111,480,117,59,332,478,False
North Florida,32,15,17,0.469,-7.99,-3.26,8,10,8,6,7,10,2651,2712,1295,944,2125,0.444,409,1147,0.357,354,517,0.685,359,1145,521,202,104,358,573,False
North Texas,32,24,8,0.75,7.83,0.5,14,4,15,1,7,5,2179,1910,1280,745,1652,0.451,220,616,0.357,469,606,0.774,328,1052,339,244,78,332,483,False
Northeastern,32,17,15,0.531,-4.34,-4.78,9,9,8,5,7,8,2243,2229,1280,835,1848,0.452,217,644,0.337,356,518,0.687,339,1090,415,242,151,399,516,False
Northern Arizona,33,18,15,0.545,-6.04,-5.45,8,10,10,5,7,8,2503,2350,1321,920,2023,0.455,268,765,0.35,395,598,0.661,391,1244,492,201,51,336,528,False
Northern Colorado,34,25,9,0.735,1.6,-3.82,15,3,13,2,9,6,2750,2463,1375,997,1952,0.511,285,757,0.376,471,648,0.727,272,1164,539,208,80,372,592,False
Northern Illinois,31,6,25,0.194,-16.46,-4.38,2,16,5,10,1,15,2199,2383,1255,756,1843,0.41,295,882,0.334,392,556,0.705,229,1018,388,190,110,355,612,False
Northern Iowa,32,20,12,0.625,5.35,0.1,14,6,14,3,5,5,2355,2150,1285,850,1737,0.489,228,616,0.37,427,612,0.698,263,1060,444,189,96,336,468,False
Northern Kentucky,33,17,16,0.515,-4.79,-3.14,11,9,12,6,5,10,2371,2377,1340,852,1946,0.438,258,772,0.334,409,611,0.669,374,1110,467,256,106,397,529,False
Northwestern,33,17,16,0.515,14.51,11.24,7,13,12,5,2,9,2390,2282,1340,860,1951,0.441,222,667,0.333,448,611,0.733,361,1114,480,228,116,329,582,False
Northwestern State,32,16,16,0.5,-5.06,-1.43,12,8,9,5,6,10,2146,2204,1290,756,1756,0.431,223,630,0.354,411,575,0.715,364,1120,407,218,136,421,500,False
Notre Dame,33,15,18,0.455,7.42,7.27,8,12,11,5,3,9,2397,2392,1355,851,1889,0.451,251,708,0.355,444,600,0.74,329,1158,376,184,58,366,518,False
Oakland,34,16,18,0.471,-2.69,-0.97,11,9,9,4,6,11,2402,2436,1390,859,1968,0.436,255,836,0.305,429,614,0.699,411,1203,439,223,102,406,545,False
Ohio,32,16,16,0.5,-2.53,-4.27,10,8,12,3,3,10,2554,2449,1290,899,1915,0.469,275,769,0.358,481,632,0.761,261,1062,450,231,95,348,559,False
Ohio State,32,17,15,0.531,17.88,12.6,9,11,11,6,4,7,2522,2353,1310,878,1884,0.466,261,710,0.368,505,675,0.748,305,1077,422,208,115,349,626,False
Oklahoma,33,20,13,0.606,15.42,11.42,6,12,12,5,2,7,2602,2470,1320,869,1841,0.472,285,771,0.37,579,729,0.794,275,1058,452,258,76,399,611,True
Oklahoma State,32,15,17,0.469,6.86,10.76,7,13,12,3,2,10,2323,2448,1280,781,1835,0.426,209,644,0.325,552,764,0.723,356,1116,404,288,89,438,623,False
Old Dominion,35,15,20,0.429,-9.56,-4.1,8,10,7,9,5,7,2376,2502,1410,839,2120,0.396,218,758,0.288,480,669,0.717,500,1345,369,193,118,400,586,False
Omaha,34,22,12,0.647,-1.08,-2.86,13,3,11,2,7,9,2654,2551,1360,923,1981,0.466,283,772,0.367,525,725,0.724,336,1209,455,203,82,372,624,True
Oral Roberts,30,7,23,0.233,-11.42,-0.49,3,13,7,7,0,15,2200,2356,1205,738,1693,0.436,280,773,0.362,444,590,0.753,252,940,306,149,70,348,532,False
Oregon,33,24,9,0.727,17.49,12.21,12,8,12,4,7,4,2515,2341,1335,884,1935,0.457,254,747,0.34,493,646,0.763,337,1173,481,236,125,372,541,True
Oregon State,32,20,12,0.625,8.78,2.16,10,8,15,3,3,7,2441,2200,1295,844,1745,0.484,228,620,0.368,525,668,0.786,302,1069,467,210,100,350,508,False
Pacific,33,9,24,0.273,-6.84,2.36,4,14,5,10,2,13,2295,2500,1330,819,1883,0.435,212,707,0.3,445,614,0.725,343,1156,421,188,94,432,610,False
Penn State,31,16,15,0.516,13.62,7.75,6,14,11,6,3,8,2452,2270,1240,858,1792,0.479,222,648,0.343,514,680,0.756,291,1045,496,250,126,384,512,False
Pennsylvania,27,8,19,0.296,-10.26,-2.45,4,10,5,8,3,10,1878,2089,1085,666,1578,0.422,228,700,0.326,318,456,0.697,261,927,371,133,47,300,413,False
Pepperdine,35,13,22,0.371,-2.57,2.81,4,14,7,9,2,11,2560,2681,1400,923,2080,0.444,246,722,0.341,468,654,0.716,351,1226,555,213,96,386,550,False
Pittsburgh,32,17,15,0.531,13.59,8.56,8,12,13,4,3,9,2428,2267,1290,834,1851,0.451,265,766,0.346,495,633,0.782,314,1068,429,233,132,319,526,False
Portland,32,12,20,0.375,-7.09,2.37,7,11,9,7,3,9,2334,2574,1300,805,1843,0.437,272,788,0.345,452,582,0.777,266,1083,496,149,99,408,487,False
Portland State,32,19,13,0.594,-4.06,-4.92,11,7,13,1,5,10,2418,2227,1285,913,1932,0.473,201,615,0.327,391,621,0.63,387,1179,468,264,157,407,560,False
Prairie View,32,5,27,0.156,-19.12,-7.12,4,14,3,7,2,19,2286,2637,1280,820,1884,0.435,202,634,0.319,444,643,0.691,283,894,390,259,102,381,604,False
Presbyterian,32,14,18,0.438,-6.49,-4.35,7,9,8,5,4,12,2379,2263,1295,868,1854,0.468,234,635,0.369,409,589,0.694,324,1079,424,215,103,340,580,False
Princeton,30,19,11,0.633,-2.59,-2.23,8,6,9,4,7,4,2209,2162,1200,791,1824,0.434,316,889,0.355,311,438,0.71,291,1014,455,221,65,313,466,False
