School,G,W,L,W-L%,SRS,SOS,W.1,L.1,W.2,L.2,W.3,L.3,Points For,Points Against,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Qualified
Providence,32,12,20,0.375,7.52,8.68,6,14,10,6,2,9,2283,2320,1285,807,1833,0.44,297,834,0.356,372,542,0.686,362,1186,413,159,109,407,550,False
Purdue,33,22,11,0.667,20.68,13.89,13,7,14,2,5,6,2570,2346,1320,913,1863,0.49,273,710,0.385,471,645,0.73,314,1068,527,216,56,342,531,True
Purdue Fort Wayne,32,19,13,0.594,-1.02,-4.08,12,8,12,2,6,10,2583,2388,1295,918,1955,0.47,330,890,0.371,417,556,0.75,243,969,434,278,89,306,503,False
Queens (NC),33,19,14,0.576,-4.77,-4.55,11,7,9,5,9,9,2527,2445,1335,878,1970,0.446,306,886,0.345,465,677,0.687,381,1232,527,217,175,414,560,False
Quinnipiac,33,20,13,0.606,-5.64,-7.42,15,5,12,2,7,10,2439,2358,1325,864,2026,0.426,227,767,0.296,484,634,0.763,390,1263,455,272,154,425,539,False
Radford,33,20,13,0.606,-2.49,-3.2,9,7,10,3,7,9,2441,2314,1330,824,1813,0.454,242,664,0.364,551,722,0.763,375,1167,374,183,103,374,564,False
Rhode Island,31,18,13,0.581,1.6,-0.37,7,11,14,3,1,9,2419,2328,1255,828,1782,0.465,236,673,0.351,527,759,0.694,311,1160,430,184,104,401,508,False
Rice,32,13,19,0.406,-1.84,-1.88,4,14,7,8,4,8,2249,2249,1290,748,1778,0.421,227,688,0.33,526,772,0.681,394,1223,379,149,99,377,571,False
Richmond,32,10,22,0.313,-4.89,2.04,5,13,6,9,2,11,2137,2302,1310,729,1745,0.418,250,797,0.314,429,542,0.792,208,996,373,191,66,327,560,False
Rider,33,14,19,0.424,-11.82,-7.0,9,11,5,7,8,11,2211,2370,1320,814,1894,0.43,178,571,0.312,405,561,0.722,369,1131,416,177,102,370,476,False
Robert Morris,34,26,8,0.765,-0.05,-5.81,15,5,16,2,8,6,2613,2395,1385,901,2000,0.451,257,734,0.35,554,767,0.722,423,1271,545,217,154,442,562,True
Rutgers,32,15,17,0.469,10.45,10.98,8,12,11,5,3,8,2465,2482,1305,865,1939,0.446,231,703,0.329,504,702,0.718,358,1129,413,225,125,349,547,False
Sacramento State,32,7,25,0.219,-13.7,-3.67,3,15,5,11,2,13,2119,2257,1280,746,1741,0.428,262,798,0.328,365,541,0.675,302,1070,418,190,97,422,592,False
Sacred Heart,33,15,18,0.455,-8.73,-8.14,10,10,8,5,5,11,2502,2481,1325,895,2043,0.438,318,910,0.349,392,536,0.731,389,1223,547,243,98,406,520,False
Saint Francis (PA),33,16,17,0.485,-12.53,-7.07,8,8,10,4,6,13,2347,2363,1345,878,1904,0.461,271,800,0.339,320,440,0.727,287,1122,469,209,79,425,502,True
Saint Joseph's,34,22,12,0.647,8.06,1.33,11,7,13,4,4,6,2562,2333,1370,883,1998,0.442,316,930,0.34,480,646,0.743,359,1261,498,219,188,387,489,False
Saint Louis,33,19,14,0.576,4.3,2.46,11,7,14,3,4,8,2449,2320,1330,871,1828,0.476,325,919,0.354,382,556,0.687,252,1164,497,211,103,419,486,False
Saint Mary's (CA),33,28,5,0.848,17.74,5.74,17,1,16,1,9,1,2426,2002,1330,894,1963,0.455,213,659,0.323,425,612,0.694,464,1313,511,206,130,323,496,True
Saint Peter's,28,12,16,0.429,-10.36,-8.18,7,13,6,6,6,10,1848,1842,1130,624,1581,0.395,199,604,0.329,401,543,0.738,377,1043,289,190,101,381,528,False
Sam Houston,32,13,19,0.406,-2.59,1.58,6,12,9,4,3,13,2411,2433,1295,827,1855,0.446,276,712,0.388,481,663,0.725,345,1129,412,205,93,405,565,False
Samford,32,22,10,0.688,1.57,-3.87,12,6,13,3,9,6,2667,2406,1290,948,2053,0.462,344,944,0.364,427,591,0.723,418,1154,528,319,120,410,619,False
San Diego,33,6,27,0.182,-8.06,1.94,2,16,5,13,0,12,2314,2629,1320,820,2016,0.407,211,719,0.293,463,616,0.752,381,1132,376,245,118,440,693,False
San Diego State,30,21,9,0.7,13.77,8.04,14,6,12,3,6,4,2126,1909,1210,766,1726,0.444,231,690,0.335,361,542,0.666,305,1062,393,230,164,329,555,True
San Francisco,33,24,9,0.727,10.96,4.21,13,5,16,2,5,5,2505,2273,1325,876,1918,0.457,281,832,0.338,472,664,0.711,338,1162,455,222,113,392,621,False
San Jose State,34,15,19,0.441,0.82,4.38,7,13,7,8,3,9,2455,2495,1375,870,1952,0.446,277,802,0.345,438,592,0.74,323,1159,444,201,105,394,535,False
Santa Clara,32,20,12,0.625,13.15,4.71,12,6,11,4,6,5,2601,2331,1295,920,1970,0.467,347,921,0.377,414,569,0.728,364,1212,538,211,98,385,533,False
Seattle,32,14,18,0.438,0.14,-1.0,8,8,9,5,4,11,2254,2125,1280,746,1799,0.415,214,663,0.323,548,767,0.714,347,1099,386,259,102,364,574,False
Seton Hall,32,7,25,0.219,0.05,8.67,2,18,5,11,0,11,1970,2246,1295,708,1770,0.4,168,539,0.312,386,582,0.663,359,996,359,260,108,400,577,False
Siena,32,14,18,0.438,-7.13,-7.25,9,11,9,5,4,10,2311,2307,1300,783,1827,0.429,239,729,0.328,506,681,0.743,315,1030,378,219,159,379,518,False
South Alabama,32,21,11,0.656,1.49,-4.14,13,5,13,4,8,6,2334,2066,1310,814,1835,0.444,273,838,0.326,433,615,0.704,320,1130,461,299,84,297,430,False
South Carolina,32,12,20,0.375,10.23,11.89,2,16,10,8,1,10,2233,2286,1290,741,1735,0.427,214,677,0.316,537,751,0.715,323,1100,405,181,94,396,514,False
South Carolina State,33,20,13,0.606,-4.36,-8.8,11,3,10,2,7,10,2624,2324,1330,902,1926,0.468,234,647,0.362,586,827,0.709,408,1165,514,313,116,469,695,False
South Carolina Upstate,32,6,26,0.188,-15.46,-2.49,2,14,4,10,2,14,2393,2673,1280,881,1941,0.454,222,726,0.306,409,606,0.675,299,1086,426,242,74,453,618,False
South Dakota,33,19,14,0.576,-5.44,-3.24,9,7,14,2,4,11,2812,2763,1320,946,2104,0.45,260,811,0.321,660,925,0.714,393,1179,382,249,110,317,613,False
South Dakota State,32,20,12,0.625,2.48,-1.49,11,5,13,1,4,8,2546,2352,1280,913,1937,0.471,277,791,0.35,443,593,0.747,374,1287,451,150,84,386,518,False
South Florida,32,13,19,0.406,-1.85,0.12,6,12,9,6,2,10,2381,2385,1290,842,1899,0.443,226,711,0.318,471,654,0.72,329,1107,460,265,113,355,548,False
Southeast Missouri State,33,21,12,0.636,-4.68,-7.65,15,5,12,3,8,7,2442,2212,1330,901,1974,0.456,242,726,0.333,398,551,0.722,278,1093,448,269,119,352,596,False
Southeastern Louisiana,32,18,14,0.563,-4.06,-4.73,12,8,8,4,9,8,2324,2232,1290,824,1854,0.444,195,592,0.329,481,642,0.749,349,1147,378,222,74,373,550,False
Southern,32,20,12,0.625,-6.73,-7.8,15,3,11,1,9,10,2392,2184,1291,849,1949,0.436,212,658,0.322,482,721,0.669,415,1194,415,309,123,401,595,False
Southern California,33,16,17,0.485,12.45,11.05,7,13,12,7,3,7,2537,2491,1330,897,1861,0.482,237,645,0.367,506,678,0.746,287,1033,510,210,98,408,589,False
Southern Illinois,33,14,19,0.424,-2.17,1.12,8,12,7,8,5,7,2405,2458,1330,875,1896,0.461,222,632,0.351,433,641,0.676,338,1173,467,207,99,412,558,False
SIU Edwardsville,33,22,11,0.667,-5.85,-8.48,13,7,12,3,7,8,2396,2182,1330,859,1981,0.434,247,724,0.341,431,638,0.676,396,1270,451,222,131,375,544,True
Southern Indiana,30,10,20,0.333,-13.67,-8.21,5,15,8,7,2,13,2144,2204,1215,766,1791,0.428,216,616,0.351,396,542,0.731,315,1075,343,201,86,351,516,False
Southern Methodist,33,23,10,0.697,14.93,6.02,13,7,12,5,7,4,2641,2347,1320,935,1945,0.481,257,683,0.376,514,713,0.721,412,1267,515,263,119,396,551,False
Southern Mississippi,33,11,22,0.333,-9.86,-3.28,5,13,9,6,1,13,2352,2507,1330,842,1954,0.431,217,717,0.303,451,652,0.692,347,1233,476,227,142,460,554,False
Southern Utah,31,12,19,0.387,-10.27,-1.77,4,12,8,7,3,11,2163,2285,1240,758,1785,0.425,182,582,0.313,465,638,0.729,341,1149,371,157,136,448,546,False
St. Bonaventure,33,22,11,0.667,4.15,0.61,9,9,12,3,7,6,2278,2143,1325,831,1857,0.447,203,649,0.313,413,562,0.735,312,1116,362,247,108,344,442,False
St. John's (NY),34,30,4,0.882,21.76,8.93,18,2,18,0,8,2,2676,2240,1380,1004,2227,0.451,205,675,0.304,463,672,0.689,492,1389,539,312,177,378,564,True
St. Thomas,34,24,10,0.706,1.33,-4.19,12,4,14,0,7,8,2827,2544,1365,976,1983,0.492,355,917,0.387,520,667,0.78,247,1063,523,244,108,324,613,False
Stanford,33,20,13,0.606,9.13,6.71,11,9,16,2,3,8,2409,2329,1320,841,1939,0.434,274,803,0.341,453,575,0.788,355,1122,455,230,115,349,565,False
Stephen F. Austin,31,14,17,0.452,-8.14,-3.43,7,13,8,8,6,9,2065,2118,1255,756,1791,0.422,191,659,0.29,362,572,0.633,407,1165,388,258,130,483,514,False
Stetson,32,8,24,0.25,-16.2,-4.2,6,12,5,9,3,11,2293,2608,1290,805,1810,0.445,233,686,0.34,450,612,0.735,270,1056,376,165,99,415,470,False
Stonehill,32,15,17,0.469,-12.87,-9.3,7,9,11,3,3,13,2198,2242,1280,759,1748,0.434,276,777,0.355,404,558,0.724,288,1060,461,206,84,388,530,False
Stony Brook,32,8,24,0.25,-13.57,-4.15,4,14,5,9,3,13,2128,2372,1280,739,1784,0.414,236,700,0.337,414,555,0.746,335,1059,361,163,66,376,487,False
Syracuse,33,14,19,0.424,5.32,8.41,7,13,11,6,2,9,2464,2566,1350,897,1964,0.457,211,643,0.328,459,651,0.705,364,1224,448,161,83,415,542,False
Tarleton State,32,12,20,0.375,-9.96,0.04,7,9,10,3,1,14,2025,2227,1280,697,1614,0.432,132,408,0.324,499,681,0.733,303,971,338,300,115,562,612,False
TCU,32,16,16,0.5,10.89,12.05,9,11,14,3,2,9,2162,2199,1285,780,1875,0.416,195,650,0.3,407,629,0.647,385,1114,389,243,110,372,501,False
Temple,32,17,15,0.531,0.08,-0.05,9,9,12,2,3,9,2520,2487,1310,840,1875,0.448,216,597,0.362,624,848,0.736,359,1165,347,205,119,351,575,False
Tennessee,34,27,7,0.794,24.86,13.15,12,6,16,1,6,5,2541,2143,1360,876,1926,0.455,282,829,0.34,507,682,0.743,390,1246,527,236,171,356,528,True
Tennessee State,33,17,16,0.515,-7.87,-8.57,12,8,12,3,4,10,2577,2418,1350,909,1964,0.463,219,673,0.325,540,793,0.681,428,1338,440,237,127,506,625,False
Tennessee Tech,32,15,17,0.469,-10.86,-7.6,10,10,9,5,5,10,2308,2371,1290,810,1874,0.432,309,878,0.352,379,543,0.698,277,1110,486,203,88,372,424,False
Tennessee-Martin,33,14,19,0.424,-10.99,-7.99,9,11,8,5,5,12,2455,2373,1350,836,1997,0.419,306,949,0.322,477,682,0.699,453,1301,447,267,93,433,556,False
Texas,34,19,15,0.559,16.18,9.98,6,12,11,7,4,6,2667,2456,1380,929,2012,0.462,256,712,0.36,551,736,0.749,347,1215,441,214,148,338,641,True
Texas A&M,32,22,10,0.688,20.04,13.66,11,7,13,3,5,5,2378,2174,1290,799,1919,0.416,224,721,0.311,556,800,0.695,518,1319,381,241,130,395,554,True
Texas A&M-Corpus Christi,34,20,14,0.588,-1.05,-3.45,12,8,15,2,4,11,2576,2291,1360,968,1976,0.49,199,580,0.343,441,699,0.631,381,1240,509,268,121,408,602,False
Texas Southern,32,15,17,0.469,-10.04,-8.01,12,6,9,4,6,12,2325,2307,1290,846,1974,0.429,233,697,0.334,400,554,0.722,368,1201,438,274,109,444,538,False
Texas State,32,16,16,0.5,-3.52,-3.68,9,9,10,4,4,10,2439,2346,1310,867,1869,0.464,190,518,0.367,515,681,0.756,389,1184,465,227,129,393,584,False
Texas Tech,33,25,8,0.758,23.9,10.57,15,5,15,3,8,2,2670,2230,1340,939,1998,0.47,338,892,0.379,454,594,0.764,383,1211,549,215,100,329,519,True
Texas-Rio Grande Valley,31,16,15,0.516,-6.14,-3.48,8,12,12,4,2,11,2378,2294,1240,872,1965,0.444,328,997,0.329,306,433,0.707,365,1165,534,235,87,417,510,False
The Citadel,30,5,25,0.167,-18.3,-4.41,0,18,5,12,0,12,1997,2251,1215,706,1685,0.419,226,766,0.295,359,582,0.617,318,1032,368,180,61,376,483,False
Toledo,33,18,15,0.545,-5.95,-2.7,10,8,9,4,6,9,2603,2645,1325,937,2019,0.464,193,574,0.336,536,715,0.75,357,1123,438,178,91,310,523,False
Towson,33,22,11,0.667,-1.69,-3.34,16,2,12,1,9,5,2309,2201,1335,836,1988,0.421,253,750,0.337,384,563,0.682,433,1213,351,213,110,309,528,False
Troy,33,23,10,0.697,3.61,-2.85,13,5,11,4,9,6,2438,2159,1320,829,1891,0.438,253,846,0.299,527,732,0.72,460,1273,459,311,156,447,550,True
Tulane,33,19,14,0.576,2.02,-0.95,12,6,14,3,4,7,2473,2304,1325,855,1880,0.455,254,744,0.341,509,670,0.76,306,1150,490,239,150,355,565,False
Tulsa,33,13,20,0.394,-5.69,-1.66,6,12,8,9,3,8,2352,2430,1340,829,1910,0.434,262,813,0.322,430,645,0.667,321,1178,450,202,90,377,514,False
UAB,34,22,12,0.647,4.41,-0.71,13,5,14,4,5,5,2806,2592,1365,1027,2228,0.461,224,661,0.339,528,694,0.761,500,1352,549,229,146,339,527,False
UC Davis,32,15,17,0.469,-5.91,-1.01,9,11,8,6,7,10,2175,2249,1285,737,1784,0.413,203,625,0.325,498,670,0.743,326,1057,354,252,115,424,577,False
UC Irvine,34,28,6,0.824,8.06,-1.0,17,3,10,2,14,3,2580,2251,1375,883,1940,0.455,237,674,0.352,577,716,0.806,317,1297,540,231,118,434,524,False
UC Riverside,33,21,12,0.636,-0.26,0.38,14,6,14,1,7,10,2480,2449,1340,878,2056,0.427,297,880,0.338,427,566,0.754,412,1236,430,181,81,366,602,False
UC San Diego,34,30,4,0.882,13.02,-2.07,18,2,13,2,12,2,2712,2095,1360,930,1996,0.466,368,1005,0.366,484,649,0.746,309,1153,542,338,74,297,556,True
UC Santa Barbara,34,21,13,0.618,0.77,-3.01,11,9,12,5,7,7,2527,2340,1360,875,1891,0.463,340,893,0.381,437,572,0.764,303,1153,508,205,106,416,570,False
UCF,33,17,16,0.515,10.69,11.51,7,13,13,5,2,8,2617,2644,1340,875,2062,0.424,286,851,0.336,581,748,0.777,407,1214,464,258,148,418,568,False
UCLA,32,22,10,0.688,19.22,10.19,13,7,15,2,5,5,2392,2103,1280,864,1853,0.466,235,668,0.352,429,610,0.703,347,1045,523,259,96,339,556,True
UNC Asheville,32,21,11,0.656,-5.11,-4.47,11,5,13,1,6,9,2630,2450,1295,942,1993,0.473,255,732,0.348,491,686,0.716,362,1125,449,240,134,334,619,False
UNC Greensboro,32,20,12,0.625,-0.88,-4.02,13,5,11,3,8,6,2332,2092,1280,818,1850,0.442,294,790,0.372,402,547,0.735,350,1174,416,192,91,316,519,False
UNC Wilmington,34,27,7,0.794,2.31,-4.5,14,4,15,3,9,4,2699,2377,1375,945,2004,0.472,248,732,0.339,561,750,0.748,425,1316,518,222,119,372,565,True
UT Arlington,31,13,18,0.419,-5.24,-2.51,6,10,9,4,3,11,2302,2320,1255,799,1793,0.446,269,759,0.354,435,658,0.661,361,1132,436,184,99,418,558,False
Utah,32,16,16,0.5,11.94,8.84,8,12,15,4,1,9,2409,2310,1285,845,1896,0.446,271,831,0.326,448,701,0.639,409,1275,561,204,117,401,592,False
Utah State,33,26,7,0.788,14.46,5.21,15,5,15,2,7,4,2669,2309,1320,935,1910,0.49,296,811,0.365,503,716,0.703,379,1142,574,285,92,353,606,True
Utah Tech,33,7,26,0.212,-9.89,-1.25,2,14,5,8,0,16,2305,2508,1325,810,1908,0.425,246,738,0.333,439,632,0.695,332,1090,418,213,106,417,634,False
Utah Valley,33,25,8,0.758,2.3,-3.38,15,1,12,0,10,6,2514,2243,1330,888,1890,0.47,201,591,0.34,537,779,0.689,359,1259,520,217,190,402,540,False
UTEP,33,18,15,0.545,-0.3,0.67,7,11,11,5,4,8,2392,2335,1325,825,1879,0.439,241,686,0.351,501,701,0.715,295,1029,434,337,99,391,596,False
UTSA,31,12,19,0.387,-2.33,0.74,6,12,7,7,4,11,2378,2382,1250,816,1929,0.423,308,853,0.361,438,553,0.792,332,1003,393,294,107,339,564,False
Valparaiso,34,15,19,0.441,-2.86,-0.08,6,14,10,7,3,10,2539,2513,1375,873,2044,0.427,263,783,0.336,530,671,0.79,340,1172,409,199,127,331,557,False
Vanderbilt,32,20,12,0.625,15.02,10.18,8,10,14,3,3,7,2548,2393,1285,893,1979,0.451,259,796,0.325,503,673,0.747,374,1117,447,289,127,332,575,True
Vermont,33,21,12,0.636,-7.79,-7.34,13,3,13,3,7,8,2199,2106,1320,776,1789,0.434,256,775,0.33,391,543,0.72,291,1125,398,184,147,371,452,False
Villanova,33,19,14,0.576,13.33,7.45,11,9,14,3,3,8,2421,2227,1320,842,1823,0.462,316,794,0.398,421,526,0.8,307,1114,413,187,76,328,510,False
Virginia,32,15,17,0.469,6.11,8.11,8,12,10,7,4,7,2073,2137,1280,739,1656,0.446,266,709,0.375,329,437,0.753,216,937,470,176,120,323,489,False
Virginia Commonwealth,34,28,6,0.824,15.17,1.35,15,3,15,1,7,3,2622,2121,1365,903,2025,0.446,322,964,0.334,494,664,0.744,451,1306,509,276,188,383,609,True
VMI,34,15,19,0.441,-11.12,-4.76,7,11,7,7,5,10,2492,2487,1365,833,1954,0.426,303,932,0.325,523,687,0.761,339,1180,427,269,89,408,549,False
Virginia Tech,32,13,19,0.406,2.99,6.99,8,12,8,9,5,5,2213,2341,1295,785,1778,0.442,252,719,0.35,391,548,0.714,325,1066,404,174,62,430,544,False
Wagner,30,14,16,0.467,-15.47,-10.0,6,10,8,6,6,10,1874,1818,1215,663,1635,0.406,207,620,0.334,341,483,0.706,340,1046,378,212,47,353,512,False
Wake Forest,32,21,11,0.656,9.9,7.75,13,7,13,3,6,6,2246,2177,1280,790,1782,0.443,179,628,0.285,487,644,0.756,284,1061,362,230,126,362,527,False
Washington,31,13,18,0.419,6.23,10.73,4,16,9,9,2,9,2219,2339,1250,788,1771,0.445,218,633,0.344,425,623,0.682,296,1011,399,200,120,373,569,False
Washington State,33,19,14,0.576,4.88,4.43,8,10,10,4,4,7,2601,2586,1325,939,1913,0.491,290,794,0.365,433,620,0.698,329,1126,557,211,163,483,633,False
Weber State,34,12,22,0.353,-9.3,-2.81,5,13,5,10,4,11,2443,2443,1370,866,1903,0.455,252,727,0.347,459,653,0.703,289,1140,389,221,82,373,606,False
West Georgia,31,6,25,0.194,-15.08,-4.01,4,14,4,8,2,15,2140,2426,1241,803,1848,0.435,168,557,0.302,366,528,0.693,295,1016,418,216,92,351,493,False
West Virginia,32,19,13,0.594,15.28,11.94,10,10,13,4,4,7,2181,2074,1300,782,1842,0.425,277,849,0.326,340,472,0.72,288,1064,442,242,131,344,532,False
Western Carolina,30,8,22,0.267,-15.73,-2.24,4,14,7,7,1,14,2090,2371,1215,720,1828,0.394,272,892,0.305,378,507,0.746,310,1152,362,158,93,420,509,False
Western Illinois,31,12,19,0.387,-15.07,-8.35,6,14,8,7,4,11,2130,2211,1250,774,1759,0.44,248,661,0.375,334,483,0.692,317,1079,317,168,116,373,443,False
Western Kentucky,32,17,15,0.531,-0.21,1.29,8,10,13,5,4,9,2395,2392,1285,843,1997,0.422,262,797,0.329,447,617,0.724,297,1188,382,259,85,352,585,False
Western Michigan,32,12,20,0.375,-9.43,-4.04,9,9,6,9,6,10,2306,2433,1280,850,1993,0.426,190,662,0.287,414,616,0.672,423,1208,398,222,75,352,574,False
Wichita State,33,19,14,0.576,2.78,1.97,8,10,11,6,5,6,2437,2396,1330,880,1970,0.447,170,557,0.305,507,697,0.727,382,1269,389,223,146,383,501,False
William & Mary,32,17,15,0.531,-5.99,-3.99,11,7,12,2,4,11,2487,2445,1280,842,1858,0.453,336,960,0.35,467,646,0.723,298,1102,529,232,58,407,570,False
Winthrop,34,23,11,0.676,-1.45,-3.93,11,5,16,2,5,8,2879,2651,1375,978,2064,0.474,275,804,0.342,648,970,0.668,421,1312,439,270,114,446,672,False
Wisconsin,35,26,9,0.743,20.94,11.65,13,7,14,3,6,5,2790,2465,1405,933,2065,0.452,347,994,0.349,577,697,0.828,328,1278,512,181,79,340,583,True
Wofford,34,19,15,0.559,-0.28,-3.03,10,8,7,6,8,8,2561,2374,1370,912,2013,0.453,329,966,0.341,408,617,0.661,442,1306,511,206,87,372,572,True
Wright State,33,15,18,0.455,-4.91,-3.81,8,12,11,4,3,12,2551,2520,1335,952,1928,0.494,279,726,0.384,368,521,0.706,307,1139,502,188,103,401,556,False
Wyoming,32,12,20,0.375,-0.29,4.58,5,15,8,7,3,10,2149,2277,1285,779,1778,0.438,243,710,0.342,348,534,0.652,337,1114,373,141,89,412,617,False
Xavier,32,21,11,0.656,15.56,8.41,13,7,15,2,5,7,2497,2268,1290,848,1818,0.466,264,680,0.388,537,676,0.794,255,1078,542,246,84,359,498,True
Yale,29,22,7,0.759,6.78,-3.65,13,1,11,0,7,6,2368,2022,1160,869,1772,0.49,221,570,0.388,409,559,0.732,323,1122,474,167,107,289,468,True
Youngstown State,34,21,13,0.618,-3.88,-5.01,13,7,10,5,9,6,2599,2446,1370,884,2028,0.436,299,934,0.32,532,726,0.733,378,1242,469,236,179,416,624,False
